id	published	title	summary
guid_107420229	2024-05-26 18:26:00	Climate change behind increasing flight turbulence, Transportation Sec'y Pete Buttigieg says	Transportation Secretary Pete Buttigieg says an increase in flight turbulence is an effect of climate change.
guid_107419003	2024-05-26 12:42:00	Chinese companies are going global. Morgan Stanley says this is the stock to play the trend	A U.S.-listed Chinese company that makes most of its money overseas could soar more than 75%, according to Morgan Stanley's newly updated forecasts.
guid_107419883	2024-05-26 12:54:00	Here's what adding Nvidia would mean for the 128-year-old Dow Industrial Average	The Dow, made up of 30 stocks, is a price-weighted average, meaning that higher-priced stocks cause the index to move more than a lower-priced one.
guid_107419988	2024-05-26 12:36:00	A way to play the global nuclear power renaissance from Morgan Stanley	Morgan Stanley says the much touted nuclear renaissance may actually be real this time, and Curtiss-Wright is poised to benefit.
guid_107420083	2024-05-25 11:48:00	The high-end consumer is embracing summer travel. These stocks will benefit, says Morgan Stanley	More higher-income consumers plan to travel this summer than their lower-income counterparts, a Morgan Stanley survey found.
guid_107419826	2024-05-26 12:31:00	Warren Buffett breaks down how to repeat his success and return 50% a year	The Oracle of Omaha once vowed that he could easily produce a 50% annual return if he was only managing $1 million.
guid_107419942	2024-05-25 11:55:00	The Fed probably won't be delivering any interest rate cuts this summer	Investors likely will have to sweat out a summer during which it looks increasingly unlikely that the Federal Reserve will be cutting interest rates.
guid_107416566	2024-05-25 13:00:00	How digital health companies are capitalizing on the GLP-1 boom	Joining the market for GLP-1s is a massive opportunity, and digital health companies from Ro to WeightWatchers are battling for market share.
guid_107402102	2024-05-25 12:00:00	Rise of resort day passes offers travelers luxury on a budget	ResortPass holds 95% of the day-guest market and has partnered with luxury hotels including the Waldorf-Astoria, JW Marriott and Fontainebleau.
guid_107420212	2024-05-25 20:21:00	Grayson Murray dies at age 30 a day after withdrawing from Colonial, PGA Tour says	Two-time PGA Tour winner Grayson Murray died Saturday morning at age 30, one day after he withdrew from the Charles Schwab Cup Challenge at Colonial.
guid_107420219	2024-05-26 07:18:00	Tesla shareholders advised to reject Musk's $56 billion pay	Proxy advisory firm Glass Lewis said on Saturday it has urged Tesla shareholders to reject a $56 billion pay package for Chief Executive Officer Elon Musk.
guid_107420207	2024-05-25 15:55:00	The 'absolute worst' of times for car buying are over	The “absolute worst” of times for car buying are over as dealerships slash prices heading into the summer, analysts say.
guid_107420211	2024-05-25 19:11:00	Elon Musk plans xAI supercomputer, The Information reports	Musk founded xAI last year as a challenger to Microsoft-backed OpenAI and Alphabet's Google.
guid_107420221	2024-05-26 09:18:00	After China drills, Taiwan president again extends goodwill	Taiwan President Lai Ching-te again extended goodwill towards and offered cooperation with China on Sunday following two days of Chinese war games.
guid_107420220	2024-05-26 08:01:00	Iran plans to raise oil output to 4 million barrels per day — Tasnim	Iran has approved a plan to raise its oil output to four million barrels per day, the country's Tasnim news agency said on Sunday.
guid_107417887	2024-05-25 13:00:00	'Pregnancy discrimination across corporate America is still rampant,' author says	"In the book, ""Women Money Power,"" financial journalist Josie Cox tells the story of women's fight for financial equality."
guid_107420208	2024-05-25 16:13:00	European banks in Russia face 'awful lot of risk', Yellen says	President Biden's new secondary sanctions allow the Treasury to cut off banks from the U.S. financial system if they assist Russia's invasion of Ukraine.
